Command Line:
--------------------------
  1: ws
  2: covids.txt
--------------------------

----------------------------------------------------------------------------------------
| The original collection                                                              |
----------------------------------------------------------------------------------------
| Australia             | Melbourne       | [None]               |   2020 |  500 | 300 |
| United Kingdom        | Wembly          | Alpha                |        |   31 |  22 |
| France                | Lyon            | Omicron              |   2020 |  600 | 350 |
| Canada                | Vancouver       | Gamma                |   2021 |  333 | 233 |
| India                 | Mumbai          | Alpha                |   2021 |  121 |  21 |
| India                 | Bengaluru       | Alpha                |   2019 |  453 | 153 |
| China                 | Beijing         | Gamma                |   2020 |  654 | 154 |
| Italy                 | Rome            | Omicron              |   2020 |  765 | 165 |
| Canada                | Edmonton        | Delta                |   2020 |  876 | 276 |
| Italy                 | Rome            | Omicron              |   2021 |  987 | 187 |
| Italy                 | Florence        | Delta                |   2020 |  377 | 177 |
| Italy                 | Florence        | Delta                |   2021 |  566 | 166 |
| Japan                 | Tokyo           | Delta                |   2021 |  676 | 100 |
| Japan                 | Osaka           | Delta                |   2020 |  787 | 187 |
| Japan                 | Sapporo         | Delta                |   2020 |   99 |  56 |
| Japan                 | Sapporo         | Delta                |   2021 |  555 | 155 |
| China                 | Beijing         | Gamma                |   2019 |  444 | 144 |
| China                 | Shanghai        | Alpha                |   2019 |  333 | 133 |
| Canada                | Hamilton        | Gamma                |        |  211 | 222 |
| China                 | Wuhan           | Omicron              |   2019 |  222 | 122 |
| China                 | Wuhan           | Omicron              |   2020 |  777 | 177 |
| Australia             | Perth           | Omicron              |   2020 |  954 | 154 |
| Japan                 | Osaka           | Delta                |   2021 |  765 | 165 |
| Australia             | Perth           | Omicron              |   2021 |  898 | 198 |
| Canada                | Toronto         | Alpha                |   2021 |  844 | 144 |
| Qatar                 | Doha            | Omicron              |        |  432 |  12 |
----------------------------------------------------------------------------------------
